Name,Technology,Prop Type,AngelList,Crunchbase,Domain,HQ Address,City,State,Zip,# Founders,Founded,Years Active,# of Funding Rounds,Valuation Rank,Funding/Year Rank,Total Funding Rank,ARR Rank,CAFR Rank,Avg. Funding/Year,ARR/Funds Raised,Total Funding,Estimated ARR,CFRGR (Compound Funding Round Growth Rate),CAFR,Latest Valuation,Latest Valuation Year,Accelerator,Accelerator 2,Pre-Seed Date,Pre-Seed $,Seed Date,Seed $,Bridge Date,Bridge $,A Round Date,A Round $,B Round Date,B Round $,C Round Date,C Round $,D Round Date,D Round $,E Round Date,E Round $,F Round Date,F Round $,G Round Date,G Round $,H Round Date,H Round $,Unknown Series Date,Unknown Series $,Non-Dilutive Round Date,Non-Dilutive Round $,Exit Date,Exit $,Acquirer
Huspy,,Residential,https://angel.co/company/huspy,https://www.crunchbase.com/organization/huspy,https://huspy.com/,,Dubai,UAE,,2,2020,,,#N/A,#N/A,262,,,,,"$47,000,000 ",,,,,,,,,,12-Apr-21,"$10,000,000 ",,,21-Jun-22,"$37,000,000 ",,,,,,,,,,,,,,,,,,,,,
PropShare,,Other,https://angel.co/company/propshare-capital,https://www.crunchbase.com/organization/property-share-online-platform,https://www.propsharecapital.com/,"10th Floor, SKAV Seethalakshmi, 21/22,
Kasturba Road",Bangalore,India,560001,2,2015,,,#N/A,#N/A,262,,,,,"$47,000,000 ",,,,,,,,,,,,,,,,27-Jun-22,"$47,000,000 ",,,,,,,,,,,,,,,,,,,
Canary Technologies,,Hospitality,https://angel.co/company/canary-technologies,https://www.crunchbase.com/organization/canary-technologies,https://www.canarytechnologies.com/,,San Francisco,CA,,2,2017,,,#N/A,#N/A,262,,,,,"$47,000,000 ","$1,000,000 ",,,,,,,,,22-Aug-18,"$2,000,000 ",,,24-Feb-22,"$15,000,000 ",27-Oct-22,"$30,000,000 ",,,,,,,,,,,,,,,,,,,
Sealed,,Residential,https://angel.co/company/sealed,https://www.crunchbase.com/organization/sealed,https://sealed.com/,22 W 38th St,New York,NY,10018,3,2012,13,3,#N/A,200,266,,,"$3,576,923 ",,"$46,500,000 ",,94.65%,16.61%,,,,,,,1-May-18,"$4,000,000 ",,,1-Mar-19,"$13,000,000 ",28-Apr-22,"$29,500,000 ",,,,,,,,,,,,,,,,,,,
Procore Technologies,,All,https://angel.co/company/procore-technologies,https://www.crunchbase.com/organization/procore-technologies-526d,http://www.procorepr.com/,,Trujillo,Puerto Rico,,,2003,22,2,#N/A,216,267,,,"$2,100,000 ",,"$46,200,000 ",,36.08%,2.84%,,,,,,,,,,,,,,,,,11-Jun-14,"$16,200,000 ",16-Apr-15,30000000,,,,,,,,,,,,,
Terra CO2,,Construction,,https://www.crunchbase.com/organization/terra-co2-technologies,https://www.terraco2.com/,,Vancouver,Canada,,1,2012,,,#N/A,#N/A,268,,,,,"$46,000,000 ",,,,,,,,,,1-Nov-20,,,,12-Jul-22,"$46,000,000 ",,,,,,,,,,,,,,,,,,,,,
Zesty.ai,,ALL,https://angel.co/company/zesty-ai-1,https://www.crunchbase.com/organization/zesty-ai,https://zesty.ai/,,San Francisco,CA,,1,2015,,,#N/A,#N/A,268,,,,,"$46,000,000 ",,,,,,,,,,,,,,10-Dec-18,"$13,000,000 ",19-Jul-22,"$33,000,000 ",,,,,,,,,,,,,,,,,,,
Mews,Property Management,Hospitality,https://angel.co/mews-systems,https://www.crunchbase.com/organization/mews-systems#section-overview,https://www.mewssystems.com/,47-51 Great Suffolk Street,London,UK,SE1 0BS,2,2012,13,3,#N/A,201,270,,,"$3,529,519 ",,"$45,883,746 ",,180.20%,26.84%,,,,,,, 11/24/2016,"$1,699,398 ",,, 6/3/2018,"$6,797,592 ", 8/28/2019,"$37,386,756 ",,,,,,,,,,,,,,,,,,,
MyTraffic,,"Commercial, Multifamily",,https://www.crunchbase.com/organization/mytraffic,https://www.mytraffic.io/,,Paris,France,,2,2016,,,#N/A,#N/A,271,,,,,"$45,200,000 ","$10,000,000 ",,,,,,,,,10-Dec-19,"$3,300,000 ",,,23-Sep-21,"$11,700,000 ",8-Nov-22,"$30,200,000 ",,,,,,,,,,,,,,,,,,,
AcreTrader,Land Investing,Other,https://angel.co/company/acretrader,https://www.crunchbase.com/organization/acretrader,https://www.acretrader.com/,,Fayetteville,AR,,,2018,7,2,#N/A,146,272,,,"$6,428,571 ",,"$45,000,000 ",,182.84%,34.59%,,,,,,,10-Apr-20,"$5,000,000 ",,,,,11-Jan-22,"$40,000,000 ",,,,,,,,,,,,,,,,,,,
